exp,source,target,t_dijkstra,t_floyd
294,26,33,5.804000011266908e-05,0.026671180999983335
295,45,37,5.568899996433174e-05,0.026470079000318947
296,44,7,5.662000012307544e-05,0.026415449000069202
297,16,0,5.736899993280531e-05,0.02642668099997536
298,23,16,8.175399989340804e-05,0.02626755499977662
299,23,31,7.286199979716912e-05,0.026556752000033157
300,16,12,7.728300033704727e-05,0.026348898999913217
301,33,27,7.41429998925014e-05,0.026308992000394937
302,7,26,4.788799969901447e-05,0.02692703299999266
303,19,20,6.392100021912483e-05,0.026920381999843812
304,3,42,8.383300018977025e-05,0.026667941000141582
305,7,25,7.868300008340157e-05,0.02662570400025288
306,45,37,7.31919999452657e-05,0.0269218630000978
307,46,32,0.00013158100000509876,0.026102988999809895
308,22,21,9.945600004357402e-05,0.026450665000083973
309,34,1,6.675100030406611e-05,0.026705893999860564
310,47,5,5.168899997443077e-05,0.026140262000353687
311,28,46,7.844299989301362e-05,0.026111027999832004
312,33,27,0.00010819699991770904,0.02657556400026806
313,1,39,4.90080001327442e-05,0.026325932999952784
314,38,46,7.803300013620174e-05,0.02597615600006975
315,42,5,8.937500024330802e-05,0.026645543999620713
316,17,15,3.68360001630208e-05,0.026095295000232
317,40,42,4.1217000216420274e-05,0.026774655999815877
318,41,5,0.0001057680001395056,0.026337014000091585
319,6,33,8.566399992560036e-05,0.026683861000037723
320,1,15,2.326300000277115e-05,0.02674796100018284
321,27,48,3.464499968686141e-05,0.02654196799994679
322,48,9,5.689899990102276e-05,0.02603947599982348
323,42,46,7.460200004061335e-05,0.026838406000024406
324,9,1,4.534699974101386e-05,0.02647670799979096
325,38,2,3.72260001313407e-05,0.026703264000389026
326,10,8,8.3213999914733e-05,0.02676873499967769
327,3,46,9.883600023385952e-05,0.026979749000020092
328,12,8,6.415999996534083e-05,0.02664631500010728
329,14,7,9.277500021198648e-05,0.026469666000139114
330,10,4,6.331999975373037e-05,0.02650482200033366
331,40,15,0.00010764800026663579,0.026394023999728233
332,5,8,6.052999970052042e-05,0.02637980100007553
333,16,19,7.891299992479617e-05,0.02638715199964281
334,40,32,7.578199983981904e-05,0.02665970699990794
335,49,3,9.375499985253555e-05,0.025923937000243313
336,29,26,8.625400005257688e-05,0.02746831900003599
337,3,36,8.146300024236552e-05,0.02633796500003882
338,27,28,4.940799999531009e-05,0.026067109999985405
339,34,28,4.546800028037978e-05,0.02613913200002571
340,46,33,7.376199982900289e-05,0.026182889000210707
341,49,21,4.7978000111470465e-05,0.026036546000341332
342,45,5,3.222600025765132e-05,0.026456294000126945
343,11,1,2.9615000130434055e-05,0.026697114999933547
344,32,45,9.649499997976818e-05,0.026807627999914985
345,47,14,2.7424000109022018e-05,0.026812979999704112
346,41,49,7.722200007265201e-05,0.02607467000007091
347,22,45,4.263700020601391e-05,0.026631950000137294
348,32,16,6.058000008124509e-05,0.027212894999593118
349,28,31,9.636599997975281e-05,0.026137038999877404
350,19,0,8.849499999996624e-05,0.026324680000016087
351,30,28,4.3866999931196915e-05,0.026694450999912078
352,10,12,9.935600019161939e-05,0.026832582999759325
353,1,9,2.971499998238869e-05,0.026442228999712825
354,37,2,0.00010126600000148755,0.02691963699999178
355,16,13,6.91010000082315e-05,0.02671082300003036
356,42,28,5.0117999762733234e-05,0.02681927099956738
357,35,41,8.725499992578989e-05,0.026577341000120214
358,6,37,3.93170003007981e-05,0.026652793000266684
359,40,30,3.461599999354803e-05,0.02634343300042019
360,40,30,4.329700004745973e-05,0.026813880000190693
361,14,37,0.0001166289998764114,0.026637319999736064
362,9,39,9.919600006469409e-05,0.02649964900001578
363,28,42,4.450699998415075e-05,0.026125368000066373
364,11,49,9.252500012735254e-05,0.026479175000076793
365,48,26,9.260499973606784e-05,0.026257920000261947
366,8,3,6.639000002905959e-05,0.02632073999984641
367,49,4,7.449200029441272e-05,0.026691018999827065
368,27,34,6.0119999943708535e-05,0.02633805300001768
369,12,9,8.828499994706362e-05,0.026989898000010726
370,32,42,5.6288999985554256e-05,0.026289715000075375
371,29,45,0.00011937999988731463,0.026097053000285086
372,17,47,0.0001401919998897938,0.026775343000281282
373,39,37,7.377200017799623e-05,0.026598185000239027
374,43,4,8.8404000052833e-05,0.026084522000019206
375,7,0,4.061700019519776e-05,0.026527202999659494
376,11,37,7.644200013601221e-05,0.026540475999809132
377,3,27,8.808400025372976e-05,0.026573220000045694
378,36,30,8.109299960779026e-05,0.026892303999829892
379,11,39,0.00011202800033061067,0.02599358499992377
380,15,2,8.562399989386904e-05,0.026670774000194797
381,25,22,9.21249998100393e-05,0.02701796999963335
382,48,1,4.6258000111265574e-05,0.02650709799991091
383,40,34,9.25149997783592e-05,0.02595318900011989
384,44,23,4.2766999740706524e-05,0.026607524000155536
385,45,39,0.00010724699995989795,0.026653900999917823
386,41,22,0.00011890899986610748,0.026366645000052813
387,15,42,0.00010787700011860579,0.026618016000156786
388,39,16,8.663400012665079e-05,0.027159162999851105
389,48,33,3.942600005757413e-05,0.026787744000102975
390,26,20,3.2015999750001356e-05,0.026830639999843697
391,44,25,6.912100025147083e-05,0.02675649799994062
392,9,46,0.00010562699981164769,0.02680799699965064
393,21,18,0.00011532899998201174,0.026487644000098953
394,48,18,7.450200018865871e-05,0.026531701999829238
395,28,36,9.081499956664629e-05,0.026834259999759524
396,33,40,3.8316999962262344e-05,0.026624685999649955
397,12,48,0.00011415899962230469,0.02628405199993722
398,8,39,0.0001783380002962076,0.027279503000045224
399,30,24,0.00010187699990638066,0.027411344000029203
400,16,39,0.00012240000023666653,0.027888009999969654
401,45,2,0.00013178100016375538,0.029766523999569472
402,49,3,5.1609000365715474e-05,0.029886992999763606
403,41,3,0.0001052369998433278,0.0295629510001163
404,12,37,0.00011614899995038286,0.030643064999821945
405,27,20,0.00010905799990723608,0.032061183999758214
406,38,28,7.895299995652749e-05,0.029806319999806874
407,8,38,6.027899962646188e-05,0.029523615000016434
408,13,13,3.484599983494263e-05,0.028863217999969493
409,41,30,0.00012573000003612833,0.02760623599988321
410,4,9,7.627300010426552e-05,0.02788051900006394
411,46,30,9.957599968402064e-05,0.027502529000230425
412,49,21,4.526700013229856e-05,0.027520024000295962
413,7,40,0.00010455700021338998,0.02699537499984217
414,25,47,4.813699979422381e-05,0.027365204000034282
415,1,1,1.867299988589366e-05,0.027502955999807455
416,3,49,5.405899992183549e-05,0.027147418999902584
417,44,39,7.340199999816832e-05,0.02831360600021071
418,22,48,0.00012466999987736926,0.027378916000088793
419,44,7,3.729599984581e-05,0.027456507999886526
420,46,24,8.150300027409685e-05,0.027390358000047854
421,43,19,6.292999978541047e-05,0.02768542499961768
422,40,38,5.1447999794618227e-05,0.028667912999935652
423,29,10,0.00011724900014087325,0.028096031000131916
424,48,29,5.6988999858731404e-05,0.028503376000116987
425,18,12,5.244800013315398e-05,0.02791339200030052
426,34,5,0.00010950799969577929,0.028873425999790925
427,22,39,0.00012675999960265472,0.028394550000029994
428,12,42,9.462500020163134e-05,0.02797561199986376
429,34,8,0.00011138799982290948,0.02788267599999017
